DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,1993,27.1,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,1994,27.9,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,1995,28.7,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,1996,31.1,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,1997,31.4,e
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,1998,30.5,b
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,1999,31.6,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2000,29.2,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2001,28.0,b
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2002,26.6,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2003,26.6,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2004,26.5,b
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2005,25.8,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2006,25.0,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2007,22.7,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-24,PC_ACT,T,EL,2008,21.9,
